client_id,Variation,success
169,,False
555,Test,False
647,Test,False
722,,False
934,Test,False
1028,Control,False
1104,Control,False
1186,Control,False
1195,Control,False
1197,Control,False
1336,Test,False
1346,Test,False
1368,Control,False
1516,Test,False
1543,,False
1643,Test,False
1677,,False
1702,Test,True
1755,Test,False
1836,Test,False
1894,,False
1936,Test,False
2078,,False
2130,,False
2439,Control,False
2581,Control,False
2720,Test,False
3232,Test,False
3572,Test,False
3647,Control,False
3743,Control,False
3989,,False
4369,Test,False
4484,Test,False
4603,Test,False
4717,Test,False
4838,,False
4870,Test,False
4955,,False
5271,,False
5354,Control,False
5444,,False
5459,,False
5845,Test,False
6022,Test,False
6096,,False
6150,Test,False
6468,,False
6567,,False
6642,Control,False
6904,Test,False
6977,Control,False
6985,Control,False
7005,,False
7020,Control,False
7561,Test,False
7563,Test,False
7567,Control,False
7657,Test,False
7723,Test,False
7856,,False
7934,Test,False
8023,Test,False
8030,,False
8039,Control,False
8055,Test,False
8101,Control,False
8124,Control,False
8583,,False
8610,Test,False
8673,,False
8712,Test,False
8820,Test,False
9229,Control,False
9536,,False
9751,Test,False
9767,Control,False
9845,Control,False
9916,Test,False
10344,Control,False
10363,Test,False
10434,,False
10552,,False
11040,Test,False
11054,Control,False
11070,Control,False
11122,Control,False
11309,Test,False
11880,Test,False
11922,,False
12045,Control,False
12115,,False
12785,Test,False
13009,Control,False
13183,,False
13735,Test,False
13831,Control,False
14638,,False
14664,,False
14690,Test,False
14716,,False
14775,Control,False
15050,Test,False
15189,Test,False
15246,,False
15352,,False
15688,,False
15708,,False
15753,Test,False
15807,Test,False
16095,Control,False
16098,Test,False
16135,Control,False
16202,Control,False
16291,,False
16295,Test,False
16549,Control,False
16679,Control,False
16744,Control,False
16747,Control,False
16881,Test,False
17008,Control,False
17036,Control,False
17160,Control,False
17170,Test,False
17318,Test,False
17404,Test,False
18449,,False
18549,Test,False
18654,,False
18660,Control,False
18973,Control,False
19060,Test,False
19263,,False
